兔	tù		
兕	sì		
兖	yǎn		
党	dǎng		
兜	dōuǀdou		
兟	shēn		
兢	jīng		
入	rù		
全	quán		
兪	yú		
八	bā		
公	gōngǀgong		
六	liùǀlù		
兮	xī		
兰	lán		
共	gòng		
兲	tiān		
关	guān		
兴	xīngǀxìng		
兵	bīng		
其	qí		
具	jù		
典	diǎn		
兹	zīǀcí		
养	yǎng		
兼	jiān		
兽	shòu		
冀	jì		
冁	chǎn		
冂	jiōng		
内	nèiǀnei		
円	yuán		
冇	mǎo		
冈	gāng		
冉	rǎn		
册	cè		
再	zài		
冏	jiǒng		
冑	zhòu		
冒	mào		
冓	gòu		
冔	xǔ		
冕	miǎn		
冖	mì		
冗	rǒng		
冘	yóuǀyín		
写	xiěǀxiè		
军	jūn		
农	nóng		
冞	mí		
冠	guānǀguàn		
冢	zhǒng		
冤	yuān		
冥	míng		
冧	lín		
冫	bīng		
冬	dōng		
冮	gāng		
冯	féngǀpíng		
冰	bīng		
冱	hù		
冲	chōngǀchòng		
决	jué		
况	kuàng		
冶	yě		
冷	lěng		
冻	dòng		
冼	xiǎn		
冽	liè		
净	jìngǀjing		
凄	qī		
凅	gù		
准	zhǔn		
凇	sōng		
凉	liángǀliàng		
凊	jìng		
凋	diāo		
凌	líng		
减	jiǎn		
凑	còu		
凓	lì		
凔	cāng		
凘	sī		
凛	lǐn		
凝	níng		
凞	xī		
凟	dú		
几	jǐǀjī		
凡	fán		
凤	fèng		
凫	fú		
凭	píng		
凯	kǎi		
凰	huáng		
凳	dèng		
凵	kǎn		
凶	xiōng		
凸	tū		
凹	āoǀwā		
出	chūǀchu		
击	jīǀjí		
凼	dàng		
函	hán		
凿	záoǀzuò		
刀	dāo		
刁	diāo		
刂	dāo		
刃	rèn		
分	fēnǀfènǀfen		
切	qièǀqiē		
刈	yìǀguà		
刊	kān		
刌	cǔn		
刍	chú		
刎	wěn		
刑	xíng		
划	huàǀhuáǀhua		
刓	wán		
刖	yuè		
列	lièǀlie		
刘	liú		
则	zé		
刚	gāngǀgang		
创	chuàngǀchuāng		
刜	fú		
初	chū		
删	shān		
刡	mǐn		
判	pàn		
別	bié		
刨	bàoǀpáo		
利	lìǀli		
别	biéǀbiè		
刬	chǎn		
刭	jǐng		
刮	guā		
到	dàoǀdao		
刱	chuàng		
刲	kuī		
刳	kū		
刴	duò		
刵	èr		
制	zhì		
刷	shuāǀshuà		
券	quàn		
刹	shāǀchà		
刺	cìǀcī		
刻	kè		
刽	guì		
刿	guì		
剀	kǎi		
剁	duò		
剂	jì		
剃	tì		
剅	lóu		
削	xuēǀxiāo		
剋	kēi		
剌	làǀláǀlā		
前	qiánǀqian		
剐	guǎ		
剑	jiàn		
剒	cuò		
剔	tīǀti		
剕	fèi		
剖	pōu		
剚	zì		
剜	wān		
剞	jī		
剟	duō		
剡	shànǀyǎn		
剣	jiàn		
剤	jì		
剥	bōǀbāo		
剧	jù		
剩	shèng		
剪	jiǎn		
副	fù		
剰	shèng		
割	gēǀguà		
剳	dá		
剸	tuán		
剺	lí		
剽	piāo		
剿	jiǎoǀchāo		
劁	qiāo		
劂	jué		
劄	zhā		
劈	pīǀpǐ		
劐	huōǀhuò		
劓	yì		
劖	chán		
劘	mó		
